Method,Accuracy,F1-Score,ROC-AUC,Sensitivity,Specificity,Precision,TP,TN,FP,FN
No Resampling,0.945,0.6496815286624203,0.9435525412087912,0.49038461538461536,0.9977678571428571,0.9622641509433962,51,894,2,53
Random Oversampling,0.955,0.7305389221556886,0.967274424793956,0.5865384615384616,0.9977678571428571,0.9682539682539683,61,894,2,43
Random Undersampling,0.897,0.6360424028268551,0.9418086796016483,0.8653846153846154,0.9006696428571429,0.5027932960893855,90,807,89,14
SMOTE,0.962,0.81,0.9682241586538461,0.7788461538461539,0.9832589285714286,0.84375,81,881,15,23
SMOTE + Tomek,0.962,0.81,0.9682241586538461,0.7788461538461539,0.9832589285714286,0.84375,81,881,15,23
SMOTE + ENN,0.952,0.7692307692307693,0.9594941191620879,0.7692307692307693,0.9732142857142857,0.7692307692307693,80,872,24,24
